name,parent_category_id,price,unique_id,url
Plinthe Haro SERIE 4000 (19x58x2200) assortie,,"10,16 €",B-406907,https://boutique-parquet.com/406907-plinthe-haro-serie-4000-19x58x2200-assortie.html
Quickstep - Plinthe stratifiée - (77x14x2400mm) - assortie au colori du parquet choisi (au ml),,"7,43 €",B-QSPSKR(-),https://boutique-parquet.com/qspskr-quickstep-stratifie-plinthe-77x14x2400-assortie-gamme.html
Plinthe Haro stratifié (19x58x2200) assortie,,"7,24 €",B-408605,https://boutique-parquet.com/plinthe-haro-stratifie-19x58x2200-assortie.html
Plinthe (14x80x2400) revêtue blanche au ml,,"4,19 €",B-PLINTHE-BLANCHE,https://boutique-parquet.com/plinthe-14x80x2400-revetue-blanche-au-ml.html
Plinthe Haro SERIE 4000 (19x58x2200) assortie,,"10,16 €",B-408608,https://boutique-parquet.com/plinthe-haro-serie-4000-19x58x2200-assortie.html
Plinthe massive chêne premier (100mm x 20mm) au ml,,"25,68 €",B-OBD0201019,https://boutique-parquet.com/plinthe-massive-chene-premier-100mm-x-20mm-au-ml.html
Plinthe stratifié quick step standard (58x12x2400) identique au colori du parquet,,"5,35 €",B-QSSK(-),https://boutique-parquet.com/plinthe-stratifie-quick-step-standard-58x12x2400-assorti.html
Plinthe Lamett en stratifié (12x60x2200) assortie avec le Vinyle,,"4,62 €",B-PLS-VINYLE-LAMETT,https://boutique-parquet.com/plinthe-lamett-en-stratifie-12x60x2200-assortie-avec-le-vinyle.html
Plinthe massive Chêne premier 70 x 14 (sans noeuds) au ml,,"16,06 €",B-DP-PLINTHE-CHENE-PREMIER-70-14,https://boutique-parquet.com/plinthe-massive-chene-premier-70-x-14-sans-noeuds-au-ml.html
Plinthe massive chêne rustique (avec noeuds) (70 mm x 14 mm) au ml,,"15,97 €",B-PLI-70C,https://boutique-parquet.com/plinthe-massive-chene-rustique-avec-noeuds-70-mm-x-14-mm-au-ml.html
