is_page_list,name,parent_category_id,unique_id,url
True,mobilier - salon de jardin,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,4cd71b6b-b4fb-432f-b066-9cb02519d956,https://boutique-parquet.com/entretien/mobilier-salon-de-jardin
True,murs et façades,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,03340fae-84f4-46bc-bb40-736e6e23e763,https://boutique-parquet.com/entretien/murs-et-facades
True,panneaux solaires,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,1249fe4e-d55f-4d91-8fa7-948ecf36092b,https://boutique-parquet.com/entretien/entretien-panneaux-solaires
True,parquet ciré,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,d6f066e8-4db9-4cc3-b3ea-1abbb568d695,https://boutique-parquet.com/entretien/parquet-cire
True,parquet huilé,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,920d53a3-d75c-4d8d-b2db-0dd1420090f9,https://boutique-parquet.com/entretien/parquet-huile
True,parquet vitrifié,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,733dc70b-61c2-46ce-bff1-69536c35733a,https://boutique-parquet.com/entretien/parquet-vitrifie
True,produits bio,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,2a0165cb-b815-4114-8f6e-a0734ed47678,https://boutique-parquet.com/entretien/produits-entretien-bio
True,"sols, dallages et carrelages",fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,10909154-1b1c-46a5-a78e-3229586ee19a,https://boutique-parquet.com/entretien/sols-dallages-carrelages
True,sols stratifié - vinyl,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,1277f5ef-7645-424b-87a6-63ba4766d2eb,https://boutique-parquet.com/entretien/sols-stratifie-vinyl
True,terrasse,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,bd05d1f4-2ed8-44e4-82f8-5fa4f130ea40,https://boutique-parquet.com/entretien/terrasse
True,toitures,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,f3b0e746-3209-436d-8613-94499d90500f,https://boutique-parquet.com/entretien/toitures
True,toutes surfaces,fcf9e2be-4e83-47f3-965c-750b3bf7c4ad,c2a3cd2a-e137-4336-b6f4-34e973afe7aa,https://boutique-parquet.com/entretien/toutes-surfaces
False,produits de finition,ROOT_CATEGORY,bf6d765b-638a-4c21-a8e2-67b628d190c4,https://boutique-parquet.com/finition
True,béton - pavés briques,bf6d765b-638a-4c21-a8e2-67b628d190c4,5be8372c-1b71-4696-aed6-bf3e3d6ffd32,https://boutique-parquet.com/finition/beton-paves-briques
True,huiles pour parquet,bf6d765b-638a-4c21-a8e2-67b628d190c4,b4eafee6-a315-498b-aae8-6c7d79c2a575,https://boutique-parquet.com/finition/huiles-pour-parquets
True,huile terrasse bardage,bf6d765b-638a-4c21-a8e2-67b628d190c4,787f36a4-b0ac-4e1c-bffc-11f277cf1892,https://boutique-parquet.com/finition/huile-terrasse-bardage
True,lasures,bf6d765b-638a-4c21-a8e2-67b628d190c4,908973ba-769a-4088-9df1-9021987c0aa2,https://boutique-parquet.com/finition/lasures
True,peinture tous bois environnement,bf6d765b-638a-4c21-a8e2-67b628d190c4,3ed1c444-3eb5-4640-8ef2-f5ca86576ac5,https://boutique-parquet.com/finition/peintures-tous-bois-environnement
True,peintures sol,bf6d765b-638a-4c21-a8e2-67b628d190c4,c8a7d370-7a06-4031-974e-a67d9585bee2,https://boutique-parquet.com/finition/peintures-sol
True,parquet ciré,bf6d765b-638a-4c21-a8e2-67b628d190c4,73451942-8b11-47ab-aefa-6b95dcfc79a5,https://boutique-parquet.com/finition/parquet-cire
True,peintures tableau d'école,bf6d765b-638a-4c21-a8e2-67b628d190c4,101c52b9-6d1d-4834-a2b2-e461ef480f61,https://boutique-parquet.com/finition/peintures-tableau-d-ecole
True,dorure extérieure-intérieure,bf6d765b-638a-4c21-a8e2-67b628d190c4,34ab2595-b005-4ede-9084-8f54b92bee7e,https://boutique-parquet.com/finition/dorure-exterieur-interieur
True,peinture rénovation multi supports,bf6d765b-638a-4c21-a8e2-67b628d190c4,39f66948-399f-4cb8-bcbb-03d832ade898,https://boutique-parquet.com/finition/peinture-renovation-multi-supports
