name,parent_category_id,promotional_price,regular_price,stock_keeping_unit,url
blanchon - huile d'entretien 1l naturel,CATEGORY_entretien_parquet-huile,18.40 €,30.95 €,B-01109015,https://boutique-parquet.com/blanchon-huile-d-entretien-1l-naturel.html
blanchon - savon naturel des parquets huilés 1l blanc,CATEGORY_entretien_parquet-huile,19.70 €,32.88 €,B-01103501,https://boutique-parquet.com/blanchon-savon-naturel-des-parquets-huiles-1l-blanc.html
blanchon - huile d'entretien universelle satinée 0.5l,CATEGORY_entretien_parquet-huile,15.95 €,27.62 €,B-03101109,https://boutique-parquet.com/blanchon-huile-d-entretien-universelle-satinee-0-5l.html
kit d'entretien pour parquet huilés,CATEGORY_entretien_parquet-huile,26.54 €,31.22 €,B-kit-entretien-parquets-huiles,https://boutique-parquet.com/kit-d-entretien-pour-parquet-huiles.html
blanchon - savon naturel des parquets huilés 5l incolore,CATEGORY_entretien_parquet-huile,89.99 €,151.06 €,B-05121105,https://boutique-parquet.com/blanchon-savon-naturel-des-parquets-huiles-5l-incolore.html
algimouss pro - algi 201 - traitement antimousse et imperméabilisant - 20l,CATEGORY_entretien_murs-et-facades,158.99 €,294.00 €,B-088004,https://boutique-parquet.com/algimouss-algi201-20l.html
blanchon - huile d'entretien environnement 1l incolore mat,CATEGORY_entretien_parquet-huile,17.80 €,29.83 €,B-01170008,https://boutique-parquet.com/blanchon-huile-d-entretien-environnement-1l-incolore-mat.html
blanchon - huile d'entretien universelle satinée 1l,CATEGORY_entretien_parquet-huile,17.14 €,29.26 €,B-04101108,https://boutique-parquet.com/blanchon-huile-d-entretien-universelle-satinee-1l.html
blanchon - savon naturel des parquets huilés 1l incolore,CATEGORY_entretien_parquet-huile,19.70 €,32.88 €,B-01121109,https://boutique-parquet.com/blanchon-savon-naturel-des-parquets-huiles-1l-incolore.html
algimouss pro - alginet flash pae - nettoyant murs et façades - 5l,CATEGORY_entretien_murs-et-facades,39.94 €,62.40 €,B-019001,https://boutique-parquet.com/algimouss-alginet-flash-pae-5l.html
algimouss pro - algi 201 - traitement antimousse et imperméabilisant - 5l,CATEGORY_entretien_murs-et-facades,52.22 €,81.60 €,B-088001,https://boutique-parquet.com/algimouss-algi201-5l.html
algimouss pro - algimix - traitement curatif et préventif - 5l,CATEGORY_entretien_murs-et-facades,70.00 €,105.60 €,B-014002,https://boutique-parquet.com/algimouss-algimix-traitement-curatif-et-preventif-5l.html
algimouss pro - traitement curatif et préventif - 20l,CATEGORY_entretien_murs-et-facades,49.98 €,86.40 €,B-001010,https://boutique-parquet.com/algimouss-traitement-curatif-et-preventif-20l.html
algimouss pro - traitement curatif et préventif - 5l + 1l offert,CATEGORY_entretien_murs-et-facades,17.66 €,27.60 €,B-001060,https://boutique-parquet.com/algimouss-traitement-curatif-et-preventif-5l-1.html
algimouss - traitement curatif et préventif - 5l + 1l offert,CATEGORY_entretien_murs-et-facades,15.36 €,17.76 €,B-001106,https://boutique-parquet.com/algimouss-traitement-curatif-et-preventif-5l-3.html
blanchon - décapant bâtiment 10 minutes liquide blanchon - 5l,CATEGORY_entretien_decapants,83.65 €,134.24 €,B-05107802,https://boutique-parquet.com/decapant-batiment-10-minutes-liquide-blanchon-5l.html
algimouss pro - algimix - traitement curatif et préventif - 2.5l,CATEGORY_entretien_murs-et-facades,40.02 €,53.35 €,B-014006,https://boutique-parquet.com/algimouss-algimix-traitement-curatif-et-preventif-2-5l.html
blanchon - décapant bâtiment façades ultra gélifié blanchon - 20l,CATEGORY_entretien_decapants,308.60 €,509.88 €,B-00970005,https://boutique-parquet.com/blanchon-decapant-batiment-facades-gelifie-blanchon-20l.html
blanchon - décapant bâtiment façades ultra gélifié blanchon - 5l,CATEGORY_entretien_decapants,96.14 €,162.16 €,B-05109707,https://boutique-parquet.com/decapant-batiment-facades-gelifie-blanchon-5l.html
blanchon - décapant bâtiment 10 minutes liquide blanchon - 1l,CATEGORY_entretien_decapants,22.34 €,32.56 €,B-04107803,https://boutique-parquet.com/decapant-batiment-10-minutes-liquide-blanchon-1l.html
blanchon - huile bardage opaque 10l pin brut,CATEGORY_entretien_bardage,214.80 €,286.49 €,B-09000024,https://boutique-parquet.com/blanchon-huile-bardage-teintee-10l-pin-blanc-1.html
garden lights - lapis led blanc chaud spot extérieur,CATEGORY_terrasses_luminaires-exterieurs-terrasses-et-jardins,39.98 €,51.95 €,B-3577441,https://boutique-parquet.com/garden-lights-lapis-led-blanc-chaud-spot-exterieur.html
blanchon - décapant bâtiment 10 minutes gélifié blanchon - 5l,CATEGORY_entretien_decapants,83.18 €,134.24 €,B-05108601,https://boutique-parquet.com/decapant-batiment-10-minutes-gelifie-blanchon-5l.html
blanchon - décapant bâtiment 10 minutes gélifié blanchon - 1l,CATEGORY_entretien_decapants,21.53 €,32.56 €,B-04108602,https://boutique-parquet.com/decapant-batiment-10-minutes-gelifie-blanchon-1l.html
garden lights - arco40 led blanc chaud spot extérieur,CATEGORY_terrasses_luminaires-exterieurs-terrasses-et-jardins,79.99 €,102.95 €,B-3161011,https://boutique-parquet.com/garden-lights-arco40-led-blanc-chaud-spot-exterieur.html
garden lights - nano led blanc luminaire extérieur,CATEGORY_terrasses_luminaires-exterieurs-terrasses-et-jardins,39.98 €,47.95 €,B-3169191,https://boutique-parquet.com/garden-lights-nano-led-blanc-luminaire-exterieur.html
vis inoxmare double filet a4 - 5x70 + embout tx 25 (boîte de 200),CATEGORY_terrasses_vis-terrasse-inox-spax,33.72 €,48.17 €,98200507004,https://boutique-parquet.com/vis-inoxmar-double-filet-a4-5x70-embout-tx-25-boite-de-200.html
seau vis inox terrasse bois inoxmar a2 - 5x60 + embout tx 25 (seau de 500 vis),CATEGORY_terrasses_vis-terrasse-inox-spax,39.95 €,79.90 €,98000506505,https://boutique-parquet.com/seau-vis-inox-terrasse-bois-inoxmar-a2-5x60-embout-tx-25-seau-de-500-vis.html
